#                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
C0000000003_ptg000003l:855700-857265   -            521 28907at4891          -            239     8e-92  298.2   8.9   1   4   1.4e-14   3.5e-14   44.0   0.1     1    59   129   202   129   207 0.85 -
C0000000003_ptg000003l:855700-857265   -            521 28907at4891          -            239     8e-92  298.2   8.9   2   4   2.2e-49   5.3e-49  158.0   1.4    62   151   239   334   225   348 0.90 -
C0000000003_ptg000003l:855700-857265   -            521 28907at4891          -            239     8e-92  298.2   8.9   3   4   3.7e-25   9.1e-25   78.6   0.0   145   215   349   425   347   444 0.87 -
C0000000003_ptg000003l:855700-857265   -            521 28907at4891          -            239     8e-92  298.2   8.9   4   4     4e-07   9.8e-07   19.6   0.1   208   239   487   521   470   521 0.81 -
C0000000010_ptg000010l:93695-94714     -            340 28907at4891          -            239   1.2e-12   38.9   9.8   1   3    0.0054     0.013    6.1   0.1   176   212    15    53     4    60 0.79 -
C0000000010_ptg000010l:93695-94714     -            340 28907at4891          -            239   1.2e-12   38.9   9.8   2   3    0.0057     0.014    6.0   0.0    79   214   211   271   199   288 0.55 -
C0000000010_ptg000010l:93695-94714     -            340 28907at4891          -            239   1.2e-12   38.9   9.8   3   3   6.6e-06   1.6e-05   15.6   0.4    71   113   289   333   280   336 0.80 -
C0000000014_ptg000014l:156970-157761   -            264 28907at4891          -            239   1.7e-12   38.4   9.2   1   3   1.6e-05     4e-05   14.3   0.0   157   214     9    67     1    70 0.76 -
C0000000014_ptg000014l:156970-157761   -            264 28907at4891          -            239   1.7e-12   38.4   9.2   2   3   3.2e-06   7.8e-06   16.7   0.1   167   215    61   109    60   116 0.88 -
C0000000014_ptg000014l:156970-157761   -            264 28907at4891          -            239   1.7e-12   38.4   9.2   3   3   2.3e-05   5.5e-05   13.9   4.6    76   135   179   243   154   247 0.85 -
C0000000002_ptg000002l:203021-203761   -            247 28907at4891          -            239   2.7e-12   37.8   0.3   1   2   1.5e-08   3.6e-08   24.3   0.4    76   213    46   191    33   196 0.79 -
C0000000002_ptg000002l:203021-203761   -            247 28907at4891          -            239   2.7e-12   37.8   0.3   2   2   4.9e-05   0.00012   12.8   0.0    52   134   150   235   149   240 0.81 -
C0000000014_ptg000014l:208371-209279   -            303 28907at4891          -            239     5e-11   33.7   0.3   1   2   1.7e-09   4.1e-09   27.4   0.2   105   215    21   140     8   158 0.82 -
C0000000014_ptg000014l:208371-209279   -            303 28907at4891          -            239     5e-11   33.7   0.3   2   2     0.025     0.061    3.9   0.0   103   132   249   281   245   284 0.72 -
C0000000013_ptg000013l:114580-115356   -            259 28907at4891          -            239   1.4e-10   32.2   1.1   1   3      0.14      0.33    1.5   0.0   189   216    44    72     5    94 0.69 -
C0000000013_ptg000013l:114580-115356   -            259 28907at4891          -            239   1.4e-10   32.2   1.1   2   3   3.8e-07   9.2e-07   19.7   0.2    78   134   155   215   114   220 0.82 -
C0000000013_ptg000013l:114580-115356   -            259 28907at4891          -            239   1.4e-10   32.2   1.1   3   3   1.1e-05   2.6e-05   14.9   0.2    79   133   198   256   195   258 0.84 -
C0000000005_ptg000005l:1307489-1309663 -            725 28907at4891          -            239   2.4e-10   31.4   1.3   1   5    0.0025    0.0061    7.2   0.0   161   215    31    86    23   108 0.81 -
C0000000005_ptg000005l:1307489-1309663 -            725 28907at4891          -            239   2.4e-10   31.4   1.3   2   5   0.00048    0.0012    9.5   0.2    80   137   111   172   100   177 0.83 -
